route_id,source_name,source_description,display_name,display_summary,display_description,garmin_name,distance_miles,origin,gpx_file_name,gpx_url,garmin_url,garmin_embed_url,notes
7432479,Mill Creek,"43rd to Gillham Park, Kauffman Lake, Brush Creek, 47th St back to Mill Creek Park",Mill Creek,,"43rd to Gillham Park, Kauffman Lake, Brush Creek, 47th St back to Mill Creek Park","Mill Creek: 43rd, Gillham Park, Kauffman Lake",4.1865,mill_creek,7432479-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/7432479-Mill-Creek.gpx,https://connect.garmin.com/app/course/439242560,,
7430584,Mill Creek,Plaza - 47th to Wyoming to Wark Parkway to Rockhill back to 43rd,Mill Creek,,Plaza - 47th to Wyoming to Wark Parkway to Rockhill back to 43rd,"Mill Creek: Plaza - 47th, Wyoming, Wark Parkway",4.5909,mill_creek,7430584-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/7430584-Mill-Creek.gpx,https://connect.garmin.com/app/course/439242575,,
7383158,Scout,Kevin's route,Scout,,Kevin's route,Scout: Kevin' route,4.7152,sunday,7383158-SCOUT.gpx,https://kcfrontrunners.github.io/routes/gpx/7383158-SCOUT.gpx,https://connect.garmin.com/app/course/439242613,,
7356649,North Johnson County,Start at Bob & John's house then S on Reinhardt Rd to 63rd & then back north on Howe Dr.,North Johnson County,,Start at Bob & John's house then S on Reinhardt Rd to 63rd & then back north on Howe Dr.,"North Johnson County: Bob & John' house, on Reinhardt, 63rd &",4.5573,sunday,7356649-North-Johnson-County.gpx,https://kcfrontrunners.github.io/routes/gpx/7356649-North-Johnson-County.gpx,https://connect.garmin.com/app/course/439242730,,
7181614,Scout (Old Westport),"Penn Valley Park, Liberty Memorial, S on Wyandotte to Westport Rd & N on Pennsylvania",Scout (Old Westport),,"Penn Valley Park, Liberty Memorial, S on Wyandotte to Westport Rd & N on Pennsylvania","Scout (Old Westport): Penn Valley Park, Liberty Memorial, on Wyandotte",5.5604,sunday,7181614-Scout-(Old-Westport).gpx,https://kcfrontrunners.github.io/routes/gpx/7181614-Scout-(Old-Westport).gpx,https://connect.garmin.com/app/course/439242813,,
7157470,Mill Creek,N on Penn around lake,Mill Creek,,N on Penn around lake,Mill Creek: on Penn around lake,4.9699,mill_creek,7157470-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/7157470-Mill-Creek.gpx,https://connect.garmin.com/app/course/439242831,,
7104273,City Market,Heritage Trail to KCK,City Market,,Heritage Trail to KCK,"City Market: Heritage Trail, KCK",5.7308,sunday,7104273-City-Market.gpx,https://kcfrontrunners.github.io/routes/gpx/7104273-City-Market.gpx,https://connect.garmin.com/app/course/439242845,,
7086395,Loose Park,"Summit south to 63, Ward Parkway to Sunset and back to Loose Park",Loose Park,,"Summit south to 63, Ward Parkway to Sunset and back to Loose Park","Loose Park: Summit, 63, Ward Parkway",3.1202,loose_park,7086395-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/7086395-Loose-Park.gpx,https://connect.garmin.com/app/course/439242954,,
7019833,Mill Creek,Hype Park Route via Locust and Walnut N to 36th St E to Harrison S to Gillham to 42nd St.,Mill Creek,,Hype Park Route via Locust and Walnut N to 36th St E to Harrison S to Gillham to 42nd St.,"Mill Creek: Hype Park Route via, Walnut, 36th",5.4316,mill_creek,7019833-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/7019833-Mill-Creek.gpx,https://connect.garmin.com/app/course/439243003,,
7016962,Parkville MO,English Landing Park,Parkville MO,,English Landing Park,Parkville MO: English Landing Park,4.632,sunday,7016962-Parkville-MO.gpx,https://kcfrontrunners.github.io/routes/gpx/7016962-Parkville-MO.gpx,https://connect.garmin.com/app/course/439243020,,
